0 常压蒸汽养护过程分为四个阶段,其中包括()。	升温阶段; 降温阶段; 恒温阶段; 
25 钢筋混凝土结构或构件的模板系统包括(  )	模板; 支撑系统; 
26 防止混凝土产生温度裂纹的措施是( )	改进设计构造; 改善混凝土抗裂性能; 减少边界约束作用; 控制温度差; 
27 钢筋进场后还应检查(  )	力学性能; 外观; 
28 模板以及其支架应有足够的强度、刚度和稳定性,能可靠的承受()。	施工荷载; 浇筑混凝土的侧压力; 浇筑混凝土的重量; 
29 钢筋锥螺纹连接的优点是()。	不受气候影响; 应用范围广; 工序简单; 
30 冬期施工为提高混凝土的抗冻性可采取的措施()。	配制混凝土时掺引气剂; 配制混凝土减少水灰比; 优先选用水化热量大的硅酸盐水泥; 采用较高等级水泥配制混凝土; 
31 下列各种因素会增加泵送阻力的是( )	水泥含量少; 沙率低; 碎石粒径较大; 坍落度低; 
32 砌体工程冬季施工的具体方法有( )	冻结法; 掺盐沙浆法; 
33 关于加强砌体结构房屋的整体性和防止产生裂缝的构造措施,下述做法哪项是错误的?( )	温度缝基础应分开; 沉降缝基础不分开; 
34 混凝土振捣密实,施工现场判断经验是( )	无气泡逸出; 表面泛浆; 混凝土不再下沉; 
35 模板按施工方法分类可分为()。	移动式模板; 固定式模板; 现场拆装式模板; 
36 钢筋的加工包括()。	除锈; 弯曲成型; 切断、接长; 
37 预防墙面灰缝不平直、游丁走缝的措施是( )	砌前先撂底(摆砖样); 设好皮数杆; 挂线砌筑; 每砌一步架,顺墙面向上弹引一定数量的立线; 
38 与碱骨料反应有关的因素有()。	骨料中含有碱活性矿物成分; 水泥的含碱量过高; 环境湿度大; 
39 关于大体积混凝土的浇捣以下说法正确的是 ( )。	在振动界线以前对混凝土进行二次振捣,排除粗集料下部泌水生成的水分和空隙; 每点振捣时间一般为 10~30s; 混凝土应采用振捣棒振捣; 
40 在混凝土浇筑时,要求做好( )	正确留置施工缝; 连续浇筑; 防止离析; 分层浇筑; 
41 板式楼梯包括( )	梯梁; 楼梯段; 平台板; 平台梁; 
42 二次投料法与一次投料法相比,所有的优点是( )	强度提高; 节约水泥; 混凝土不易产生离析; 施工性好; 
43 预应力混凝土结构和钢筋混凝土结构相比具有的优点有( )	可以节约材料; 抗裂度高、耐久性好; 能充分发挥钢筋和混凝土各自的特性; 构件截面小、自重轻、刚度大; 
44 对拆除时混凝土的强度,以下说法正确的是()。	与水泥品种、混凝土配合比有关; 应符合设计要求; 当设计无要求时,应符合国家的规定; 与构件类型有关; 
45 抗震设防烈度较低时,砌砖墙可留直搓,但必须留成阳搓,并沿墙高每500mm设置一道拉结筋。当墙体厚度为( )时,拉结筋可用2φ6	120mm; 180mm; 240 mm; 
46 滑升模板的装置主要组成部分有( )	模板系统; 提升系统; 操作平台系统; 
47 砂浆的砌筑质量与( )有关	砂浆的种类; 砂浆的强度; 砂浆的和易性; 块材的平整度; 
48 下列关于项目管理组织结构模式的说法中,正确的有( )。	矩阵组织结构适用于大型组织系统; 矩阵组织结构中有两个指令源; 大型线性组织系统中的指令路径太长; 
49 关于观感质量的验收,往往难以定量,检查评价的结果为( )。	差; 好; 一般; 
50 在混凝土养护过程中,水泥水化需要的条件是合适的( )	湿度; 温度; 
51 框架结构中不是主要承受竖向荷载的构件有( )	构造柱; 框架梁; 砖砌的墙体; 
52 在单位工程或子单位工程质量验收时,应对其是否符合设计和规范要求及总体质量水平做出评价,其综合验收结论由参加验收的( )共同商定。	设计单位; 施工单位; 监理单位; 建设单位; 
53 建筑结构按承重类型可划分为( )	砖混结构; 剪力墙结构; 筒体结构; 框架结构; 
54 与钢筋焊接质量有关的因素是( )	焊接工艺; 钢材焊接性; 
55 砖砌体的砌筑方法有( )	满口灰法; “三-”砌砖法; 挤浆法; 刮浆法上; 
56 钢筋的力学性能指标有(  )	冷弯性能; 抗拉强度; 屈服点; 伸长率; 
57 检验批可根据施工及质量控制和专业验收需要,按( )进行划分。	变形缝; 施工段; 楼层; 
58 在工程质量验收各层次中,总监理工程师可以组织或参与( )的验收。	单位工程; 分部工程; 子单位工程; 
59 设计模板以及其支架时,应考虑的主要因素有()。	材料供应; 工程结构形式; 荷载大小; 
60 建筑工程施工质量验收的要求有( )。	工程质量的验收应在施工单位自行检查评定的基础上进行; 对涉及结构安全和使用功能的分部工程应进行抽样检测; 参加工程施工质量验收的各方人员应具备规定的资格; 建筑工程施工应符合工程勘察、设计文件的要求; 
61 预应力混凝土不宜或不得使用下列品种的水泥( )	火山灰质硅酸盐水泥; 粉煤灰硅酸盐水泥; 矿渣硅酸盐水泥; 
62 混凝土结构表面损伤,缺棱掉角产生的原因有()。	模板表面不平,翘曲变形; 模板表面未涂隔离剂,模板表面未处理干净; 振捣不良,边角处未振实; 
63 普通黏土砖实心砖墙的常用组砌形式有( )	一顺一丁; 梅花丁; 三顺一丁; 
64 自然养护的方法有( )	用土回填; 喷洒过氯乙烯树脂塑料溶液; 洒水; 涂刷沥青乳液; 
65 钢筋混凝土结构的施工缝宜留置在( )	剪力较小位置; 便于施工的位置; 
66 模板的技术要求包括()。	模板及其支架的强度、刚度和稳定性。; 模板安装与拆除应符合规范规定; 浇筑混凝土之前,木模板应浇水湿润; 
67 模板及支架应具有足够的( )	稳定性; 强度; 刚度; 
68 填充后浇带混凝土()。	最好选在主体收缩状态; 在室内正常的施工条件下后浇带间距为 30m; 要求比原结构强度提高一级; 宜采用微膨胀水泥; 
69 以下各种情况中可能引起混凝土离析的是( )	混凝土自由下落高度为 3m; 振捣时间过长; 运输道路不平; 
70 砖墙砌筑的工序包括( )	立皮数杆; 砌砖; 放线; 
71 木模板主要优点是()	拼装随意; 导热系数小; 制作方便; 
72 建设工程满足了竣工验收的条件,即应组织竣工验收,竣工验收的依据有(CD)等。	工程施工承包合同; 工程施工图纸; 
73 影响砌筑砂浆饱满度的因素有( )	砖的含水量; 铺灰方法; 砂浆和易性; 
74 台模主要优点是()。	节约大量模板; 是一种大型工具式模板; 混凝土表面容易平整; 整体性好; 
75 直接影响砌体结构抗压强度的主要因素为( )	砌体的强度等级; 砌筑质量; 砂浆的强度等级; 
76 模板的拆除顺序一般是( )	先支的后拆; 后支的先拆; 
77 结构50线的作用( )	控制混凝土浇筑厚度; 控制楼层标高; 
78 对柱子模板的控制,其控制要点主要是( )的控制	柱模位置; 柱模垂直度; 
79 保水性差的砂浆,在施工使用中易产生( )等现象	灰缝不平; 离析; 粘结强度低; 泌水; 
80 模板的基本要求是具有足够的(  )	稳定性; 刚度; 强度; 
81 钢筋的加工工序有(  )	调直; 弯曲成型; 切割; 除锈; 
82 滑升模板主要优点是()。	节省劳动力; 节约大量模板; 加快施工速度; 
83 以下各种情况中可能引起混凝土离析的是( )	搅拌时间过长; 振捣时间过长; 运输道路不平; 混凝土自由下落高度为 3m; 
84 冬期施工中,配制混凝土用的水泥强度等级不应低于( )	42.5;
85 在任何情况下,纵向受力钢筋在混凝土保护层厚度均不应小于( )	25mm;
86 分层浇注大体积混凝土时,第二层混凝土要在第一层混凝土( )浇注完毕。	初凝前;
87 隔墙或填充墙的顶面与上层结构的交接处,宜( )	用砖斜砌顶紧;
88 当砌块砌体的竖向灰缝宽度为( )时,应采用C20以上的细石混凝土填实	30-150mm;
89 建筑地面工程属于(D)分部工程。	建筑装饰装修;
90 在梁、板、柱等结构的接缝和施工缝处产生烂根的原因之一是( )。	施工缝的位置留的不当,不易振捣;
91 设有钢筋混凝土构造柱的抗震多层砖房,砖墙与钢筋混凝土构造柱应沿高度方向每( )设2φ6钢筋(一砖墙)	500mm;
92 施工缝处混凝土表面强度达到( )以上时,才允许继续浇筑混凝土。	1.2N/mm2;
93 现浇钢筋混凝土梁长度大于 8m 时,拆除底模必须要等混凝土强度达到设计混凝土强度标准值的( )	100%;
94 预应力钢筋不能采用( )	冷拉HPB300级钢筋;
95 跨度为 9m 、强度为 C30 的现浇混凝土梁,当混凝土强度至少应达到( )时方可拆除模板	30N/mm2;
96 经法定检测单位检测鉴定以后认为达不到( )的相应要求,则必须按一定的技术方案进行加固处理。	规范、标准;
97 单层建筑工程可按( )等划分检验批。	变形缝;
98 在常温下,当采用铺浆法砌筑实心砖砌体时,规范要求铺浆长度不得超过( ) mm.	750;
99 吊车梁的吊装必须待柱杯口二次浇筑混凝土达到设计强度的( )	75%;
100 加气混凝土砌块竖向灰缝宽度宜为( )	20mm;
101 验收记录均应该由( )填写	施工项目专业质量检查员;
102 竖向投放精度最高的是(  )	内控法中的激光铅垂仪投测轴线法;
103 在每一个施工层中,应该先浇筑的构件是( )	A、 和 C、;
104 泵送混凝土的粗骨料为软石时,最大粒径 D与输送管年内径 D 之比应( )。	< 1/3;
105 砖墙的水平缝厚度与竖向缝宽度变化范围通常控制在( )	8~12mm;
106 冬期施工中配制混凝土用的水泥宜优先采用( )的硅酸盐水泥。	活性高、水化热量大;
107 下列关于施工验收层次划分的叙述中,不正确的是( )	当分项工程较大时,可划分为若干子分项工程;
108 砖墙的水平缝厚度( )	一般为10mm,并不大于12mm;
109 实施对工程施工质量的( )把关,确保工程施工质量达到业主所要求的功能和使用价值,实现建设投资的经济效益和社会效益。	过程控制和终端;
110 混凝土试配强度应比设计的混凝土强度标准值提高( )	1 个数值;
111 悬挑长度为 1.5m 、混凝土强度为 C30 的现浇阳台板,当混凝土强度至少应达到( )时方可拆除底模	30N/mm2;
112 混凝土炭化会破坏钢筋表面的( ),使钢筋失去混凝土对其保护作用而锈蚀	钝化膜;
113 对于实心砖砌体宜采用( )砌筑,容易保证灰缝饱满	“三-”砖砌法;
114 在梁板柱等结构的接缝和施工缝出产生烂根的原因之一是( )	接缝出模板拼缝不严,漏浆;
115 混凝土在运输过程中不应产生分层、离析现象。如有离析现象,必须在浇筑进行( )。	二次搅拌;
116 下列模板在拆模的过程中一般应最先拆除的是( )	柱模板;
117 混凝土自然养护初期,水泥水化作用进行较快,须水量( ) 。	较多;
118 柱混凝土灌注前,柱基表面应先填以() cm 厚与混凝土内砂浆成分相同的水泥砂浆,然后再灌注混凝土。	5 - 10;
119 结构50线是指(  )	从楼层结构面向上返50cm;
120 为了避免砌体施工时可能出现的高度偏差,最有效的措施是( )	准确绘制和正确树立皮数杆;
121 在常温下,水泥混合砂浆应在( )内使用完毕。	4h;
122 在常温下,当采用铺浆法砌筑实心砖砌体时,规范要求铺浆长度不得超过( )mm	750;
123 混凝土蒸汽的恒温养护时间一般为 3~8h ,降温速度不得超过( )	10 ℃ /h;
124 一般所说的混凝土强度是指( )	抗压强度;
125 砖墙的转角处和交接处应( )	同时砌筑;
126 对于重要结构、有抗震要求的结构,箍筋弯钩形式应按( )方式加工。	135 ° /135 °;
127 砖基础最下面一层砖的水平灰缝大于20mm时,应用( )找平	细石混凝土;
128 冬期施工中,钢筋冷拉可在负温下进行,但温度不得低于( )	-20 ℃;
129 浇筑混凝土时,为了避免混凝土产生离析,自由倾落高度不应超过( )	2.0m;
130 多层及高层建筑工程中主体分部的分项工程可按( )划分检验批。	楼层或施工段;
131 其他分部工程(除基础分部工程、主体分部工程、屋面分部工程外)中的分项工程一般按( )划分检验批。	楼层;
132 用细石混凝土填补蜂窝麻面时,混凝土的水灰比宜控制在( )以内。	0.5;
133 现浇楼层评定混凝土强度,每层取样制作式件不得少于( )	3 个;
134 箍筋在钢筋混凝土构件中的主要作用是( )	承受剪力;
135 下列冷拉钢筋的机械性能中属于塑性指标的是( )	伸长率和冷弯性能;
136 先张法适用的构件( )	中、小型构件;
137 超过( )个月的水泥,即为过期水泥,使用时必须重新确定其标号。	三;
138 不同种类钢筋代换,应按( )的原则进行。	钢筋受拉承载力设计值相等;
139 砖墙的水平灰缝厚度和竖缝宽度,一般应为( )左右	10mm;
140 采用 100*100*100mm 试块确定强度等级时,测得的强度值应乘以( )换算成标准强度。	0.95;
141 采用混凝土泵输送混凝土,每小时输送量可达( )	160m3;
142 模板的拆除顺序应为(  )	强度达到1.2MPa后即可拆除;
143 C25 混凝土在 30 ℃时从搅拌机卸出后到浇筑完毕的延续最长时间应是( )	90min;
144 砂浆的稠度越大,说明砂浆的( )	流水性越好;
145 预应力混凝土梁是在构件的( )预先施加压应力而成。	受拉区;
146 柱施工缝留置位置不当的是( )	与吊车梁平齐处;
147 门窗工程属于(D)分部工程。	建筑装饰装修;
148 下列不适合用于建筑工程的钢筋是( )	高碳钢;
149 砖混结构砖墙砌筑之后的工序为( )	圈梁钢筋的绑扎;
150 冬期施工中,混凝土入模温度不得低于( )	5 ℃;
151 楼梯混凝土的浇筑要求( )	自下向上浇筑;
152 砌体工程按冬期施工规定进行的条件是 5 天室外平均气温低于( )	+5 ℃;
153 冬期施工中,混凝土的搅拌时间与常温时相比应( )	延长 50 %;
154 当日( )降到 5 ℃或 5 ℃以下时,混凝土工程必须采用冬期施工技术措施。	平均气温;
155 在竖向结构中,当混凝土浇筑高度超过( )时,应采取串筒、溜槽或振动串筒下落	3m;
156 单排扣件钢管脚手架搭设高度一般不宜超过( )	20m;
157 采用普通硅酸盐水泥配置的混凝土受冻临界强度为设计强度等级的( )	30%;
158 对砌筑砂浆的技术要求不包括( )	坍落度;
159 下列表明混凝土拌和物已被振实的情况是( )	表面泛出水泥浆;
160 矿渣水泥、火山灰水泥拌制的大体积混凝土的养护时间不得少于( )。	21d;
161 大体积混凝土的振捣棒振捣,要作到( )。	快插慢拔;
162 当梁的高度大于( )时,可单独浇筑	1m;
163 ( )是钢结构主要的连接方式。	螺栓连接;
164 为了保证砌筑砂浆的强度,在保证材料合格的前提下,应重点抓好( )	计量控制;
165 砖墙水平灰缝的砂浆饱满度至少达到( )以上	80%;
166 混凝土搅拌时的投料顺序,宜采用( )	石子→水泥→砂;
167 现浇混凝土悬臂构件跨度小于 2m ,拆模强度须达到设计强度标准值的( )	100%;
168 混凝土构件施工缝的位置( )。	柱应沿水平方向;
169 某梁宽度为 250mm ,纵向受力钢筋为一排 4 根直径为 20mm 的 HRB、335 级钢筋,钢筋净间距为( )	40mm;
170 常温下砌筑砌块墙体时,铺灰长度最多不宜超过( )	5m;
171 建筑幕墙工程属于(D)工程分部。	建筑装饰装修;
172 后张法施工较先张法的优点是( )	不需要台座、不受地点限制;
173 泵送混凝土的原材料和配合比 , 粗骨料宜优先选用 ( ) 。	砾石;
174 见证取样检测是检测试样在( )见证下,由施工单位有关人员现场取样,并委托检测机构所进行的检测。	监理单位或建设单位具备见证资格的人员;
175 构件按最小配筋率时,按代换前后( )相等的原则进行钢筋代换。	面积;
176 按《建筑工程施工质量验收统一标准》的规定,依专业性质、建筑部位来划分的工程属于( )工程	分部;
177 ( )是为在浇注钢筋混凝土结构施工过程中,克服由于温度、收缩而可能产生有害裂缝而设置的。	后浇带;
178 砌体墙与柱应沿高度方向每( )设2φ6钢筋	500mm;
179 在确定冷拉率时,在同一炉同一批钢筋中取样的件数是( )	不少于四件;
180 砌块砌筑时应错缝搭砌,搭接长度不小于150mm,同时不小于砌筑高度的比例为( )	1/3H;
181 砖混结构砖墙砌筑之前的工序为( )	构造柱钢筋的绑扎;
182 隐蔽工程在隐蔽前,施工单位应当通知( )。	建设单位和工程质量监督机构;
183 下列水泥,自然养护时撒水天数不应少于 14 天的是( )	有抗渗性要求的混凝土;
184 某砖墙高度为2.5m在常温的晴好天气时,最短允许( )砌完	2d;
185 下列关于砌筑砂浆强度的说法中,( )是不正确的	砂浆的强度是将所取试件经28d标准养护后,测得的抗剪强度值来评定;
186 浇筑柱子混凝土时,其根部应先浇( )	50~100mm 厚水泥砂浆;
187 已知某钢筋混凝土梁中的 1 号钢筋外包尺寸为 5980mm ,钢筋两端弯钩增长值共计 156mm ,钢筋中间部位弯折的量度差值为 36mm ,则 1 号钢筋下料长度为( )	6100mm;
188 评定混凝土强度试件的规格是( )	150mm*150mm*150mm;
189 单位工程的观感质量应由验收人员通过现场检查,并应(D)确认。	共同;
190 搅拌混凝土时,为了保证按配合比投料,要按砂石实际( )进行修正,调整以后的配合比称为施工配合比	含水量;
191 冬期施工中,配制混凝土用的水泥用量不应少于( )	300 kg/m3;
192 在制定检验批的抽样方案时,应考虑合理分配生产方风险(或错误概率α)和使用方风险(或漏判概率β);主控项目,对应于合格质量水平的α和β均不宜( )。	超过5%;
193 框架结构框架柱的施工工序正确的为( )	柱钢筋绑扎→支柱模板→浇筑混凝土;
194 建筑工程质量验收应划分为单位(子单位)工程、分部(子分部)工程、分项工程和( )。	检验批;
195 规范、标准给出了满足安全储备和使用功能的( )限度要求。	最低;
196 分项工程应按主要( )等进行划分。	A+B+C+D;
197 按现行的施工规范要求,实心砖砌体水平灰缝的砂浆饱满度,用面格网检查不得低于( )。	80 %;
198 框架结构施工程序正确的为( )	框架柱钢筋绑扎→框架柱支模→柱混凝土浇筑→梁板支模→绑梁板钢筋→梁板混凝土浇筑→墙体砌筑;
199 钢筋加工弯曲 90 ° , 其每个弯曲量度差值为( )倍的钢筋直径。	2;
200 悬挑长度为 2m 、混凝土强度为 C40 的现浇阳台板,当混凝土强度至少应达到( )时方可拆除底模板。	100%;
201 粘土砖在砌筑前应浇水润湿,一般提前时间为( )	0.5~1.0d;
202 检验批的质量应按主控项目和(B)验收。	一般项目;
203 冷拉后的 HPB235 钢筋不得用作( )	构件吊环;
204 经工程质量检测单位检测鉴定达不到设计要求,经设计单位验算可满足结构安全和使用功能的要求,应视为( )。	符合规范规定质量合格的工程;
205 热轧钢筋的力学性能检验中,(  )为一批,试样长度大约为(  )	60t,500mm;
206 预制构件吊环必须采用( )钢筋制作,严禁以其他钢筋代换。	未经冷拉的 HPB235 级;
207 火山灰水泥拌制的大体积混凝土养护的时间不得少于( )	21D、;
208 ()浇水自然养护时间不少于 7D、	硅酸盐水泥拌制的混凝土;
209 室内正常的环境下钢筋混凝土梁的保护层为( )	25mm;
210 沸煮法检验的水泥是( )	安定性;
211 为了保证砌筑砂浆的强度,在保证材料合格的前提条件下,应重点抓好( )	计量控制;
212 建筑轴线竖向投侧的方法有(  )	内控法和外控法;
213 建筑工程质量验收是在施工单位自行质量检查评定的基础上,( )共同对工程的质量进行抽样复检,对工程质量达到合格与否做出确认。	参与建设活动的有关单位;
214 分项工程可由( )检验批组成。	若干个;
215 先张法施工时,当混凝土强度至少达到设计强度标准值的( )时,方可放张	75%;
216 吊装预制构件的吊环,其采用的钢筋必须是( )	Ⅰ级热轧钢筋;
217 当大体积混凝土结构平面尺寸不大而厚度较大时,宜采用( )方法进行浇注。	全面分层;
218 施工缝宜留在结构受剪力较小且便于施工的部位,柱施工缝宜留在( )。	梁或吊车梁牛腿的下面;
219 我国规范规定凝结硬化过程中的混凝土块体内外温差不宜超过( )	25 ℃;
220 有地下层的基础工程可按( )划分检验批。	不同的地下层;
221 单位工程的观感质量应由验收人员进行现场检查,最后由( )确认	各单位验收人员共同;
222 按现行的施工规范要求,实心砖砌体水平灰缝的砂浆饱满度,用面格网检查不得低于( )	80%;
223 冬期施工加热养护整体式结构时,施工缝的位置应设置在( )。	温度应力较小处;
224 抗震设防烈度为 6 度、 7 度地区,砖砌体临时间断采用直槎时,拉接筋埋入墙体长度每边不应小于( )。	1000mm;
225 当同条件养护试块	75%;
226 框架结构框架梁的施工工序正确的为( )	支梁模板→梁钢筋绑扎→浇筑混凝土;
227 当日平均气温降到( )以下时,混凝土工程必须采取冬季施工技术措施	5 ℃;
228 浇注混凝土墙体洞口时应注意( )。	使洞口两侧混凝土高度大体一致;
229 跨度为 6m 、混凝土强度为 C30 的现浇混凝土板,当同条件养护试块混凝土强度至少应达到( )%时方可拆除模板	75;
230 梁和板的混凝土应( )。	在一般情况下应同时浇注;
231 抗震设防烈度为6度、7度地区,砖砌体临时间断采用直槎时,拉接筋埋入墙体长度每边不应小于( )	1000mm;
232 以下对砂浆保水性的说法错误的是( )	纯水泥砂浆的保水性优于混合砂浆;
233 掺入( )不能提高砂浆的保水性	水泥;
234 检验批和分项工程是建筑工程施工质量基础,因此,所有检验批和分项工程均应由( )组织验收。	监理工程师或建设单位项目技术负责人;
235 对于墙、柱等部件边线的测量控制,主要是控制( )	模板就位时的控制;
236 楼梯混凝土浇筑完毕后,应在( )以内覆盖和浇水,养护时间不少于( )	12h,7天;
237 下列哪一个不是“三一“砌筑的内容( )	一杆尺;
238 砌块冬季施工时砂浆铺筑的长度不宜超过( )	2m;
239 普通粘土砖墙的砌筑,应选用( )	混合砂浆;
240 隔墙或填充墙的顶面与上层结构的接触处,宜( )	用砖斜砌顶紧;
241 不属于单根预应力粗钢筋制作工序的是( )	冷拔;
242 在施工时,为了保证按配合比投料,要施工现场按砂、石实际含水率进行修正配合比,调整以后的配合比称为( )。	施工配合比;
243 每层承重墙的最上一皮砖,在梁或梁垫的下面,应用( )砌筑	丁砖;
244 在室内正常环境中使用的梁的混凝土强度等级为 C25 ,其保护层厚度为( )	25mm;
245 某 9m 跨大梁采用 C20 混凝土,底模的拆除应在构件达到( )强度。	20MPA、;
246 对空心砖墙的砌筑,以下说法正确的是( )	在门口两侧一砖长范围内,用实心砖砌筑;
247 某混凝土梁的跨度为 6.3m ,采用木模板,钢支柱支模时其跨中起拱高度可为( )	12mm;
248 在浇筑柱子时,应采用的浇筑顺序是( )	由外向内;
249 普通混凝土浇水自然养护时间不得少于( )	7 天;
250 在预应力筋张拉时,构件混凝土强度不应低于设计强度标准值的( )	75%;
251 砖砌体留直槎时应加设拉结筋拉结筋沿墙高每( )设一层	500mm;
252 下列砂率适合泵送混凝土配料的是( )	45%;
253 当混凝土厚度不大而面积很大时,宜采用( )方法进行浇筑	分段分层;
254 混凝土小型空心砌块砌筑时,水平灰缝的砂浆饱满度,按净面积计算不得低于( )	90%;
255 毛石砌筑时必须设置拉结石,应均匀分布,一般每0.7m2至少设置( )	一块;
256 关于砌块中灰缝厚度正确的说法是( )	竖缝的宽度为10-20mm;
257 钢筋的绑扎连接时,应在(  )扎牢	两端和中心;
258 泵送混凝土的碎石粗骨料最大粒径 D、 与输送管内径 D、 之比应( )	小于等于 1/3;
259 砌砖墙留直槎时,需加拉结筋。对抗震设防烈度为6度、7度地区,拉结筋每边埋入墙内的长度不应小于( )	1000mm;
260 在施工缝处继续浇筑混凝土应待已浇混凝土强度达到( )	1.2MPA、;
261 砌砖墙留斜槎时,斜槎长度不应小于高度的( )	2/3;
262 脚手架的一步架高度一般为( )	1.2m;
263 某梁纵向受力钢筋为 5 根直径为 20mm 的 HRB、335 级钢筋(抗拉强度为 300N/mm2 ) , 现在拟用直径为 25mm 的 HPB、235 级钢筋(抗拉强度为 210N/mm2 )代换,所需钢筋根数为( )	5 根;
264 在常温下,水泥混合砂浆应在( )内使用完毕	4h;
265 检验批的质量验收不包括( )	观感质量;
266 砌砖墙留槎正确的做法是( )	不大于7度的抗震设防地区留阳槎加拉结筋;
267 砖墙的水平灰缝砂浆饱满度不得小于( )	80%;
268 分部工程的验收应由( )组织。	总监理工程师(建设单位项目负责人);
269 楼梯混凝土宜连续浇筑,多层楼梯的施工缝应留置在( )的部位	楼梯段跨中1/3;
270 除锈工作应当在(  )进行	调直后弯曲前;
271 混凝土的自然养护,规范规定:混凝土浇筑完毕后,应在( )以内加以覆盖和浇水。C、	12 小时;
272 为了保证保护层厚度,支撑筋和垫块的间距应该(  )	不大于1m;
273 冬期施工中,钢筋冷拉可在负温下进行,如采用控制应力方法时,冷拉控制应力应较常温下提高( )	30N/mm2;
274 ( )是建筑工程施工质量验收的最小单位	检验批;
275 结构50线是指(  )	楼层结构面向上返50cm;
276 某 C25 混凝土在 30 ℃时初凝时间为 210min ,若混凝土运输时间为 60min ,则混凝土浇筑和间歇的最长时间应是( )	150min;
277 混凝土在浇筑时,须使用串筒或溜槽的自由下落高度是( )	2.0M;
278 蒸汽养护的混凝土构件出池后,表面温度于外界温差不得大于( )	20 ℃;
279 ( )分部工程中的分项工程一般划分为一个检验批	地基基础;
280 当湿度一定时,混凝土强度增长的速度取决于( )	混凝土标号;
281 基础砌筑时通常采用的砂浆通常为( )	水泥砂浆;
282 在下列运输设备中,既可作水平运输也可作垂直运输的是( )	塔式起重机;
283 砌砖墙留直槎时,需加拉结筋对抗震设防烈度为6度,7度地区,拉结筋每边埋入墙内的长度不应小于( )	1000mm;
284 楼梯模板的拆除顺序( )	先支的后拆,后支的先拆;
285 浇筑有主次梁的肋形楼板时,混凝土施工缝宜留在( )	次梁跨中 1/3 的范围内;
286 下列各项属于隐蔽工程的是( )	A、 和 C、;
287 下列关于单位(子单位)工程验收内容的叙述中,( )说法不恰当	单位工程所含的分部工程、分部工程所含的分项工程合格;
288 某悬臂构件跨度为 1.5m ,底模拆除时,混凝土强度必须达到 ( )	混凝土设计强度的 100%;
